Ria,Coast,RiaCoast,LocNumRiaCoast,LocNumCumulative,LocName,Latitude,Longitude,DistanceRiver_Absolute,DistanceRiver_Normalized,Rock_Type,Wave_Mean,Ascophyllum_Coverage,Ascophyllum_Presence,Barnacles_Coverage,Barnacles_Presence,Corallina_Presence,FabalisObtusata_Presence,Fucus_Coverage,Fucus_Presence,Gibbula_Presence,Lichina_Coverage,Lichina_Presence,Littorea_Presence,Melarhaphe_Presence,Mytilus_Coverage,Mytilus_Presence,Nucella_Presence,Pelvetia_Coverage,Pelvetia_Presence,Phorcus_Presence,SaxatilisDensity1,SaxatilisDensity2,SaxatilisDensity3,SaxatilisDensity_Mean,SaxatilisDensity_SD,n,Albida_Counts,Fulva_Counts,Lutea_Counts,Aurantia_Counts,Fusca_Counts,Nigra_Counts,Lineata_Counts,Bande_Counts,Tessellata_Counts,ColorMorphNA_Counts,Sheltered_Counts,Rest_Counts,Minority_Counts,Fulva_Frequency,Lutea_Frequency,Fusca_Frequency,Lineata_Frequency,Sheltered_Frequency,Rest_Frequency,Minority_Frequency,Rudis_Counts,Rudissima_Counts,Jugosa_Counts,Jugosa_Frequency,ShellSculptureNA_Counts,ScarsAbsent_Counts,ScarsPresent_Counts,ScarsPresent_Frequency,ScarsNA_Counts,ShellLength_Mean,ShellLength_SD,ShellThickness_Mean,ShellThickness_SD,ShellThickness_Rel_Mean,ShellThickness_Rel_SD,CS_Mean,CS_SD,RW1_Mean,RW1_SD,RW2_Mean,RW2_SD,RW3_Mean,RW3_SD,EcolPC1,EcolPC2,Cluster
Vigo,South,VigoSouth,5,11,Panxon,42.148131,-8.830506,68835,0.75,Schists,1.25,0,0,5,1,1,0,0,0,1,5,1,0,1,0,0,0,1,1,1,20,13,31,21.3,9.07,59,5,0,0,0,0,0,54,0,0,0,0,5,5,0,0,0,0.915,0,0.085,0.085,1,36,22,0.373,0,59,0,0,0,6.991525424,0.777548787,0.371644068,0.062617823,-0.017695467,0.054610359,0.908761674,0.093344051,0.022627983,0.046485964,0.009980305,0.030250359,-0.022871326,0.030031709,2.345339972,-1.922078998,WaveExposed
Vigo,South,VigoSouth,6,12,BaionaPuntaTenaza,42.126814,-8.849647,83849,0.91,AlkalineGranitoids,1.75,0,0,5,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,18,22,33,24.3,7.77,50,0,0,0,0,0,0,48,0,2,0,0,2,2,0,0,0,0.96,0,0.04,0.04,12,18,20,0.4,0,47,3,0.06,0,7.118,1.189527431,0.44014,0.077444123,0.04621555,0.07087541,0.945498611,0.147240544,0.012016951,0.053491185,-0.055516026,0.030454554,-0.014279174,0.030726501,1.711208972,-0.152149774,WaveExposed
Vigo,South,VigoSouth,7,13,BaionaCuncheiro,42.123446,-8.85216,84952,0.92,AlkalineGranitoids,0.75,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,16,37,18,23.7,11.59,46,0,0,0,0,0,0,45,0,1,0,0,1,1,0,0,0,0.978,0,0.022,0.022,4,17,25,0.543,0,46,0,0,0,6.87173913,0.850793889,0.390173913,0.066348007,0.005176833,0.059810354,0.921472903,0.114050233,0.006656439,0.051328271,-0.056073889,0.024071495,-0.03054832,0.02461113,1.09916029,-2.465995217,WaveExposed
Pontevedra,North,PontevedraNorth,1,14,Lourido,42.421172,-8.680689,3483,0.06,Gneisses,0.75,0,0,3,1,0,0,5,1,0,0,0,1,0,0,0,0,5,1,0,17,15,3,11.7,7.57,51,0,28,7,0,16,0,0,0,0,0,51,23,0,0.549,0.137,0.314,0,1,0.451,0,40,11,0,0,0,32,19,0.37254902,0,8.464705882,1.311613286,0.366647059,0.095429099,-0.07609774,0.080177149,1.366822096,0.203893923,0.001359313,0.043427707,0.012364585,0.032899452,-0.024040414,0.028526659,-3.354388557,-0.473592815,WaveSheltered
Pontevedra,North,PontevedraNorth,2,15,Chancela,42.422431,-8.717217,10629,0.2,AlkalineGranitoids,1.25,0,0,5,1,0,1,2,1,0,0,0,1,0,5,1,1,3,1,0,53,33,13,33,20,62,3,31,8,0,10,0,5,5,0,0,49,26,8,0.5,0.129,0.161,0.081,0.79,0.419,0.129,42,19,1,0.016,0,53,9,0.14516129,0,8.796774194,1.02876143,0.411612903,0.105316907,-0.04316993,0.087345766,1.467167908,0.179822363,0.014008336,0.048358579,-0.016089883,0.032731509,-0.005571438,0.02912575,-2.607364848,2.531587723,WaveIntermediate
Pontevedra,North,PontevedraNorth,3,16,Sinas,42.403028,-8.750881,15130,0.28,AlkalineGranitoids,1.25,0,0,5,1,0,0,1,1,1,0,0,1,1,3,1,1,0,0,1,26,16,40,27.3,12.06,60,2,10,1,0,0,0,40,6,1,0,11,10,9,0.167,0.017,0,0.667,0.183,0.167,0.15,8,28,24,0.4,0,56,4,0.066666667,0,6.895,1.407898422,0.370466667,0.090279128,-0.015373659,0.069300579,1.161494786,0.223820712,0.005967923,0.0609357,-0.01500707,0.031767233,-0.004974948,0.027267122,0.788443949,1.637054925,WaveIntermediate
Pontevedra,North,PontevedraNorth,4,17,Areas,42.395417,-8.783575,20559,0.38,CalcAlkalineGranitoids,2.75,0,0,5,1,1,0,0,0,1,5,1,0,1,1,1,1,0,0,1,15,19,4,12.7,7.77,58,0,0,0,30,0,0,28,0,0,0,0,30,30,0,0,0,0.483,0,0.517,0.517,10,24,24,0.414,0,54,4,0.068965517,0,5.760344828,0.752059081,0.303275862,0.06291509,-0.041431309,0.05410064,0.998272939,0.120796127,0.005304226,0.046235918,-0.019548654,0.028469223,0.012477392,0.025337351,2.876800764,-0.615963444,WaveExposed
Pontevedra,North,PontevedraNorth,5,18,Paxarinhas,42.390833,-8.844867,32624,0.61,Schists,3.75,0,0,4,1,1,0,0,0,1,4,1,0,1,0,0,1,0,0,1,9,5,6,6.7,2.08,63,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,1,0,0,0,7,27,29,0.46,0,51,12,0.19047619,0,6.849206349,1.056908611,0.374015873,0.084958148,-0.010164356,0.070674175,1.191836244,0.172032872,0.012804373,0.056346379,-0.041632763,0.031835458,0.003684677,0.022591979,2.602126188,-1.047069641,WaveExposed
Pontevedra,North,PontevedraNorth,6,19,Pocinhas,42.413428,-8.871397,37372,0.69,Schists,1.75,0,0,4,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,5,2,1,2.7,2.08,49,0,0,0,0,0,0,16,0,32,1,0,33,33,0,0,0,0.327,0,0.673,0.673,8,25,16,0.327,0,45,4,0.081632653,0,5.973469388,0.815673421,0.275346939,0.075617335,-0.077086355,0.064293408,1.051047944,0.130839299,0.044804465,0.053599843,0.003592877,0.031809397,0.010040315,0.024135463,2.10493625,-0.377624537,WaveExposed
Pontevedra,North,PontevedraNorth,7,20,Abelleira,42.452072,-8.924644,51972,0.97,CalcAlkalineGranitoids,3.25,0,0,5,1,1,0,0,0,1,4,1,0,1,1,1,1,1,1,1,11,16,51,26,21.79,51,0,0,0,2,0,0,48,0,1,0,0,3,3,0,0,0,0.941,0,0.059,0.059,2,9,40,0.784,0,47,4,0.078431373,0,5.552941176,0.656765694,0.276686275,0.057400519,-0.060502166,0.055134926,0.981716086,0.104489352,0.02730757,0.056666827,-0.004577099,0.031876406,0.021179744,0.022050971,2.556007408,-0.422623055,WaveExposed
Pontevedra,South,PontevedraSouth,1,21,Mogor,42.392336,-8.714067,13194,0.36,AlkalineGranitoids,1.25,0,0,5,1,1,0,0,0,1,3,1,0,1,4,1,1,0,0,1,20,36,35,30.3,8.96,50,0,0,4,3,2,0,41,0,0,0,6,9,3,0,0.08,0.04,0.82,0.12,0.18,0.06,2,9,39,0.78,0,38,12,0.24,0,7.514,1.134614922,0.45322,0.080750634,0.044939885,0.060906968,1.268558151,0.188039767,0.017611674,0.054268443,-0.028234549,0.028148685,0.001943674,0.031365444,2.459310001,0.518963289,WaveExposed
Pontevedra,South,PontevedraSouth,2,22,Loira,42.370006,-8.739614,17915,0.49,AlkalineGranitoids,2.25,0,0,5,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,22,15,53,30,20.22,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0,3,16,26,0.578,0,41,4,0.088888889,0,8.004444444,0.763650192,0.449777778,0.066229247,0.023718228,0.053213629,1.348709386,0.13067069,-0.000180273,0.070308862,-0.028306846,0.034145698,0.0041066,0.027111838,2.109601442,0.007899826,WaveExposed
Pontevedra,South,PontevedraSouth,3,23,SantoDoMar,42.350775,-8.750575,21176,0.58,Schists,2.25,0,0,5,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,25,33,32,30,4.36,54,2,1,1,14,0,0,36,0,0,0,2,17,16,0.019,0.019,0,0.667,0.037,0.315,0.296,2,20,32,0.593,0,45,9,0.166666667,0,8.033333333,1.035592985,0.401759259,0.078876052,-0.025347561,0.062549649,1.362466523,0.174604682,0.025472579,0.062934975,-0.05736472,0.033127858,-0.001492198,0.029346028,1.591480994,-1.358575712,WaveExposed
Pontevedra,South,PontevedraSouth,4,24,Agrelo,42.332497,-8.772503,25783,0.71,CalcAlkalineGranitoids,1.25,0,0,5,1,1,0,0,0,1,3,1,1,1,2,1,1,0,0,1,27,21,53,33.7,17.01,62,0,0,0,11,0,0,51,0,0,0,0,11,11,0,0,0,0.823,0,0.177,0.177,2,4,56,0.903,0,58,4,0.064516129,0,6.488709677,1.120173411,0.370548387,0.085842341,-0.000563232,0.063816202,1.109661534,0.184770506,0.040410961,0.057831699,-0.007288784,0.030811336,-0.001341241,0.025336355,2.028349713,0.699551873,WaveExposed
Pontevedra,South,PontevedraSouth,5,25,Beluso,42.336078,-8.798983,30601,0.84,CalcAlkalineGranitoids,1.75,0,0,5,1,1,0,0,0,1,4,1,0,1,4,1,1,0,0,1,29,12,11,17.3,10.12,50,7,0,0,1,0,0,42,0,0,0,0,8,8,0,0,0,0.84,0,0.16,0.16,0,2,48,0.96,0,49,1,0.02,0,6.6,1.106013249,0.42864,0.080717386,0.053493919,0.057699537,1.135519727,0.181067648,0.022442034,0.069991858,-0.006182368,0.038473211,0.013256118,0.027376839,2.612749866,0.394190635,WaveExposed
Pontevedra,South,PontevedraSouth,6,26,PuntaCagadoiro,42.341161,-8.82595,33550,0.92,CalcAlkalineGranitoids,3.25,0,0,5,1,1,0,0,0,1,2,1,0,1,1,1,0,0,0,1,6,6,1,4.3,2.89,49,0,19,1,0,0,0,29,0,0,0,20,1,0,0.388,0.02,0,0.592,0.408,0.02,0,4,17,28,0.571,0,45,4,0.081632653,0,7.593877551,1.206131585,0.44255102,0.094452162,0.03137521,0.077516999,1.289872941,0.189197579,0.011231376,0.065976572,-0.037773343,0.032499589,0.009292175,0.022105165,2.015503526,-1.32120163,WaveExposed
Arousa,North,ArousaNorth,1,27,Neixon,42.662892,-8.843661,23395,0.27,Schists,0.75,5,1,5,1,0,1,5,1,0,0,0,1,0,5,1,0,5,1,0,33,33,16,27.3,9.81,60,0,40,10,3,2,0,0,5,0,0,52,20,8,0.667,0.167,0.033,0,0.867,0.333,0.133,17,35,8,0.133,0,46,14,0.233333333,0,8.296666667,1.237406619,0.373866667,0.080795298,-0.062786429,0.065497998,1.351368899,0.191066635,-0.034240493,0.039392135,0.009658277,0.026271581,-0.027103607,0.019804168,-4.578878435,1.020139241,WaveSheltered
Arousa,North,ArousaNorth,2,28,Portomouro,42.632428,-8.837792,30218,0.34,Schists,0.75,0,0,4,1,0,1,5,1,0,0,0,1,0,1,1,1,0,0,0,43,17,70,43.3,26.5,62,2,38,17,0,5,0,0,0,0,0,60,24,2,0.613,0.274,0.081,0,0.968,0.387,0.032,25,32,5,0.081,0,29,33,0.532258065,0,7.8,1.48069545,0.409419355,0.077204126,-0.00922874,0.062110394,1.257307052,0.218674973,-0.038373376,0.051416817,-0.000843405,0.024791684,-0.039804163,0.02026987,-2.577967498,0.909247496,WaveIntermediate
Arousa,North,ArousaNorth,3,29,CaboCruz,42.610458,-8.887486,40807,0.46,CalcAlkalineGranitoids,1.25,0,0,5,1,1,0,0,0,1,4,1,0,1,4,1,1,0,0,1,28,7,11,15.3,11.15,58,0,3,0,2,8,0,45,0,0,0,11,10,2,0.052,0,0.138,0.776,0.19,0.172,0.034,0,38,20,0.345,0,56,2,0.034482759,0,7.156896552,1.111204826,0.369844828,0.068037864,-0.025489688,0.050704812,1.206488607,0.177189671,-0.006462225,0.056624623,0.017248105,0.026736304,0.001957045,0.02140366,2.612749866,0.394190635,WaveExposed
Arousa,North,ArousaNorth,4,30,Escarabote,42.61885,-8.921622,53629,0.61,CalcAlkalineGranitoids,0.75,0,0,5,1,0,0,4,1,1,0,0,1,1,4,1,1,4,1,1,41,34,35,36.7,3.79,62,1,2,0,9,5,0,42,3,0,0,7,18,13,0.032,0,0.081,0.677,0.113,0.29,0.21,8,32,22,0.355,0,49,13,0.209677419,0,7.159677419,1.467065732,0.439870968,0.080266867,0.044435641,0.067009179,1.197330793,0.229897301,-0.029499948,0.066516071,0.00523266,0.021947079,-0.003475922,0.022710656,-0.379879804,2.231076266,WaveIntermediate
Arousa,North,ArousaNorth,5,31,TorreBermudez,42.596747,-8.923539,59880,0.68,CalcAlkalineGranitoids,0.75,0,0,5,1,1,0,0,0,1,0,0,0,1,4,1,1,0,0,1,65,75,54,64.7,10.5,66,8,11,4,0,4,0,39,0,0,0,19,16,8,0.167,0.061,0.061,0.591,0.288,0.242,0.121,0,11,55,0.833,0,64,2,0.03030303,0,5.360606061,0.658641676,0.368090909,0.062916728,0.037874939,0.053857215,0.939220437,0.109090972,-0.00381704,0.059684692,0.013783843,0.023661741,0.016660485,0.020697913,1.998990408,0.893281251,WaveExposed
Arousa,North,ArousaNorth,6,32,PuntaDeCabio,42.586633,-8.924511,61776,0.7,CalcAlkalineGranitoids,1.75,0,0,4,1,0,0,0,0,1,0,0,0,1,5,1,1,0,0,1,7,8,12,9,2.65,62,11,8,3,1,0,0,39,0,0,0,11,15,12,0.129,0.048,0,0.629,0.177,0.242,0.194,2,19,41,0.661,0,58,4,0.064516129,0,7.869354839,1.0325186,0.478806452,0.073506069,0.057644127,0.072869645,1.173278325,0.214554683,0.008772207,0.067679803,0.005055226,0.027996698,0.008671056,0.017837776,1.215312329,1.187506881,WaveExposed
Arousa,North,ArousaNorth,7,33,Ribeira,42.542956,-8.984458,76885,0.87,CalcAlkalineGranitoids,1.25,0,0,5,1,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,48,58,46,50.7,6.43,65,26,33,0,6,0,0,0,0,0,0,33,32,32,0.508,0,0,0,0.508,0.492,0.492,18,24,23,0.354,0,62,3,0.046153846,0,6.989230769,0.805085996,0.334353846,0.064974858,-0.054902503,0.061902055,0.93969468,0.105944924,0.034775724,0.060966546,-0.001723532,0.034694721,-0.002370215,0.023037799,0.777122175,1.34661298,WaveExposed
Arousa,North,ArousaNorth,8,34,Aguinho,42.517356,-9.022631,84497,0.96,CalcAlkalineGranitoids,3.75,0,0,5,1,1,0,0,0,1,4,1,0,1,5,1,0,0,0,1,19,8,8,11.7,6.35,58,0,18,1,2,0,0,37,0,0,0,19,3,2,0.31,0.017,0,0.638,0.328,0.052,0.034,3,20,35,0.603,0,47,11,0.189655172,0,5.539655172,0.709815804,0.404931034,0.074836866,0.068224234,0.063341052,0.764532272,0.081895463,0.004913702,0.061009505,0.014110225,0.036306965,0.008369215,0.029936169,2.174901876,-0.39023837,WaveExposed
Arousa,South,ArousaSouth,1,35,Carril,42.621533,-8.773958,7376,0.07,AlkalineGranitoids,0.25,5,1,2,0,0,0,5,1,0,0,0,1,0,0,0,0,4,1,0,9,4,10,7.7,3.21,51,0,29,13,0,6,0,0,3,0,0,48,22,3,0.569,0.255,0.118,0,0.941,0.431,0.059,42,8,1,0.02,0,37,14,0.274509804,0,9.090196078,1.421162187,0.441470588,0.086343582,-0.023949281,0.07267441,1.151959992,0.176224597,-0.025250514,0.038930885,0.016982699,0.024495405,-0.03704093,0.022511813,-4.118929637,-1.396563321,WaveSheltered
Arousa,South,ArousaSouth,2,36,PuntaLaxeDeBorreiros,42.578756,-8.805211,22181,0.21,CalcAlkalineGranitoids,0.75,5,1,4,1,0,1,5,1,0,0,0,1,0,3,1,1,4,1,1,22,14,9,15,6.56,62,1,12,10,7,32,0,0,0,0,0,54,50,8,0.194,0.161,0.516,0,0.871,0.806,0.129,12,37,13,0.21,0,37,25,0.403225806,0,7.219354839,1.050345565,0.485903226,0.068354838,0.088304493,0.057041113,0.962421785,0.123806508,0.005954814,0.053922128,0.010806982,0.028295172,-0.002254004,0.022082499,-3.379841362,1.257260385,WaveSheltered
Arousa,South,ArousaSouth,3,37,Fucinho,42.574422,-8.830231,25127,0.24,CalcAlkalineGranitoids,0.75,0,0,5,1,0,1,3,1,1,0,0,1,1,2,1,1,2,1,1,66,37,125,76,44.84,61,8,15,1,6,22,2,0,3,4,0,38,46,23,0.246,0.016,0.361,0,0.623,0.754,0.377,15,32,14,0.23,0,59,2,0.032786885,0,7.4,0.848920884,0.390983607,0.063633191,-0.013163817,0.056370612,0.97543583,0.104809443,-0.022640375,0.04184511,0.013793095,0.025923718,-0.002240131,0.018056354,-0.399977737,1.58572275,WaveIntermediate
Arousa,South,ArousaSouth,4,38,IllaDeArousaE,42.566419,-8.874369,None,NA,CalcAlkalineGranitoids,0.75,0,0,5,1,0,1,2,1,1,0,0,1,0,1,1,1,2,1,1,38,85,92,71.7,29.37,67,8,16,8,1,5,0,28,0,1,0,29,23,10,0.239,0.119,0.075,0.418,0.433,0.343,0.149,7,39,21,0.313,0,61,6,0.089552239,0,7.174626866,0.993363323,0.467970149,0.073842373,0.07199288,0.065807102,0.9628213,0.121290904,-0.025657469,0.058804026,0.005495501,0.028266072,0.010196534,0.01945321,-0.944294121,1.166168612,WaveIntermediate
Arousa,South,ArousaSouth,5,39,IllaDeArousaW,42.551289,-8.874856,None,NA,CalcAlkalineGranitoids,1.25,0,0,5,1,1,0,0,0,1,2,1,0,1,0,0,1,0,0,1,18,47,34,33,14.53,60,0,2,0,2,4,0,52,0,0,0,6,6,2,0.033,0,0.067,0.867,0.1,0.1,0.033,0,6,54,0.9,0,56,4,0.066666667,0,5.9,1.06245638,0.452694915,0.081169099,0.102372018,0.068689922,0.817614615,0.130425628,0.003097451,0.081204277,0.005459035,0.030667748,0.024654752,0.026394435,2.453351515,-0.536772624,WaveExposed
Arousa,South,ArousaSouth,6,40,Cambados,42.507711,-8.820236,43759,0.42,CalcAlkalineGranitoids,0.75,5,1,3,1,0,1,5,1,1,0,0,1,0,0,0,0,3,1,1,42,24,2,22.7,20.03,53,0,20,11,0,18,4,0,0,0,0,49,33,4,0.377,0.208,0.34,0,0.925,0.623,0.075,36,17,0,0,0,40,13,0.245283019,0,8.51509434,1.204222735,0.447188679,0.064171961,0.002617214,0.057099787,1.087036509,0.146238317,-0.020148162,0.036797079,0.005911353,0.032440473,-0.022968604,0.019855526,-3.027793984,-1.230478165,WaveSheltered
Arousa,South,ArousaSouth,7,41,AToxa,42.487889,-8.845525,73832,0.71,CalcAlkalineGranitoids,0.75,5,1,1,0,0,1,5,1,1,0,0,0,0,0,0,0,2,1,1,17,18,23,19.3,3.21,61,0,24,1,4,12,11,0,2,7,0,37,37,24,0.393,0.016,0.197,0,0.607,0.607,0.393,46,15,0,0,0,51,10,0.163934426,0,8.636065574,0.888450484,0.571131148,0.071309765,0.122174272,0.056529397,1.131722555,0.110149924,-0.058821431,0.034720629,0.039591968,0.023789202,0.01044516,0.01795515,-2.671949628,-2.591392186,WaveSheltered
Arousa,South,ArousaSouth,8,42,OGrove,42.491256,-8.891094,86583,0.83,CalcAlkalineGranitoids,1.75,0,0,5,1,1,1,4,1,1,1,1,1,0,4,1,1,2,1,1,27,19,25,23.7,4.16,65,9,6,2,3,0,0,43,2,0,0,8,16,14,0.092,0.031,0,0.662,0.123,0.246,0.215,8,17,40,0.615,0,62,3,0.046153846,0,6.813846154,1.072945263,0.436107692,0.085750934,0.05320933,0.075110915,0.926887875,0.133282681,0.00509088,0.05733231,0.025854793,0.026253066,0.020026999,0.019323004,-0.620788908,1.683342691,WaveIntermediate
